name,compiler,type,threads,input,major_faults,branch_instructions,minor_faults,dtlb_stores,mpxbtnum,dtlb_load_misses,time,instructions,dtlb_store_misses,cycles,mpxerrors,dtlb_loads,branch_misses
dealII,gcc,native,1,0,0,703154808,6118,273635957,,12594,0.564435563,5285854520,39044,2134702795,,1590486819,5503489
dealII,gcc,native,1,1,0,2015200047,14649,933875352,,48977,1.553264878,14457817956,80282,5873271096,,4502966791,19225263
dealII,gcc,native,1,2,0,5832764594,37403,2849632316,,206952,4.362180477,40661461534,197347,16455739433,,13346290006,62427679
dealII,gcc,native,1,3,0,31716417903,187428,16223801286,,1720974,23.014958949,210449538928,864335,86241309794,,73161019337,369850389
dealII,gcc,native,1,4,0,385369290890,1747471,141780701616,,22427161,248.079289675,2136809163505,9204190,926450398598,,692945612393,4247371341
dealII,gcc,native,1,0,0,704060331,6119,280825252,,10295,0.567975212,5274285163,39160,2148632960,,1576627133,5567339
dealII,gcc,native,1,1,0,2008778290,14647,925273794,,46541,1.553401695,14338487635,90096,5867839829,,4509347054,19421621
dealII,gcc,native,1,2,0,5854824490,37916,2909285362,,215221,4.35627866,40661253785,210772,16455227473,,13336861199,62133930
dealII,gcc,native,1,3,0,31725480044,185383,16205562230,,1725142,23.016440796,211271117447,854915,86204139864,,72742016102,375069939
dealII,gcc,native,1,4,0,385255257028,1749506,141838301157,,22898669,247.482946449,2136360496899,8935062,925349673543,,692998764799,4240642731
dealII,gcc,native,1,0,0,711166421,6119,276098440,,13120,0.563425528,5322853794,46744,2133712665,,1550967615,5726376
dealII,gcc,native,1,1,0,2021095177,14649,900726875,,59569,1.54877004,14553317488,83238,5837879937,,4454950538,19580178
dealII,gcc,native,1,2,0,5830306537,37403,2889490444,,215772,4.34487142,40733264906,195560,16454821132,,13339190552,62704410
dealII,gcc,native,1,3,0,31615806608,184871,16193887026,,1670874,22.960436545,210498107688,818516,86199563255,,72702199813,374555788
dealII,gcc,native,1,4,0,385515337157,1751053,141798227573,,22499111,247.144452515,2136436014436,8749712,925023949765,,692946606248,4245054686
dealII,gcc,native,1,0,0,705137983,6116,285101241,,13263,0.566252424,5287388274,48795,2145491967,,1549191343,5659917
dealII,gcc,native,1,1,0,2016488442,14649,904624185,,57835,1.547863179,14479869445,78331,5828559650,,4486070300,19244843
dealII,gcc,native,1,2,0,5844197084,37417,2862072192,,214537,4.343302569,40759582007,186988,16450911126,,13345626528,62776933
dealII,gcc,native,1,3,0,31673417355,187940,16124246378,,1778298,22.948282697,210640916320,875015,86176814040,,72881601590,375087544
dealII,gcc,native,1,4,0,385464845505,1751562,141792744799,,22628479,247.374321697,2136930812031,8758430,925767592547,,692830361005,4250261211
dealII,gcc,native,1,0,0,704724903,6115,276869889,,12554,0.564034606,5284531581,38933,2138004924,,1583222659,5541951
dealII,gcc,native,1,1,0,2018129074,14648,902277358,,55399,1.547996525,14478874788,79245,5831780266,,4492546803,19279975
dealII,gcc,native,1,2,0,5820236615,38424,2854484589,,229821,4.340557833,40759165569,176876,16433762977,,13307972599,62603742
dealII,gcc,native,1,3,0,31714600653,185403,16247322627,,1699220,22.950821749,210706269314,800669,86171623783,,72956149328,375197281
dealII,gcc,native,1,4,0,385499995197,1757688,142010211397,,22527388,247.282422745,2136561624588,8964041,925551764146,,692839624962,4244199394
dealII,gcc,native,1,0,0,706226885,6119,281694234,,12398,0.566320944,5288379534,44824,2144584459,,1568558749,5621440
dealII,gcc,native,1,1,0,2016673814,14649,908888146,,59071,1.548876644,14518585563,80538,5837938785,,4455798686,19407811
dealII,gcc,native,1,2,0,5845470693,37401,2859889945,,217921,4.346390168,40818004094,194941,16459157369,,13331923571,63655845
dealII,gcc,native,1,3,0,31615925171,186916,16349919407,,1710045,22.958692453,210310466052,854080,86147180528,,72784447184,376001457
dealII,gcc,native,1,4,0,385517299814,1747983,142021125813,,23099686,247.271774101,2136451087815,9168190,925357022197,,692968294617,4243042933
dealII,gcc,native,1,0,0,708705562,6119,281868044,,13433,0.565610094,5301950800,51024,2142095973,,1552106413,5604626
dealII,gcc,native,1,1,0,2016342044,14647,918724008,,57198,1.551377326,14453519398,91310,5878540619,,4477760170,19428614
dealII,gcc,native,1,2,0,5829712132,37403,2888146436,,215186,4.34816297,40779977223,193952,16457864466,,13314356940,63183149
dealII,gcc,native,1,3,0,31712407942,187429,16205201184,,1794727,22.932583722,211095382632,833723,86104355969,,72800276224,372534228
dealII,gcc,native,1,4,0,385389103681,1759244,142019624959,,23308927,247.601810253,2135810668383,9219656,926620462251,,693378842816,4248180847
dealII,gcc,native,1,0,0,713324275,6119,274536495,,14173,0.56322751,5331478909,48518,2132279974,,1557390080,5743019
dealII,gcc,native,1,1,0,2016671698,14650,920822430,,58861,1.551662457,14474967450,89173,5885364031,,4465268036,19443593
dealII,gcc,native,1,2,0,5825505759,38424,2878691854,,264341,4.345205231,40744675786,193931,16445457700,,13272761537,62423277
dealII,gcc,native,1,3,0,31693277569,189995,16214832585,,1740449,22.936558675,210792324845,902779,86115586755,,72847301994,373833542
dealII,gcc,native,1,4,0,385372160549,1752628,141845284018,,24803049,247.289689894,2136644397248,9285600,925483060145,,692803948517,4228158095
dealII,gcc,native,1,0,0,712754878,6117,270736255,,13593,0.563022459,5317622557,46413,2132522145,,1571523379,5800175
dealII,gcc,native,1,1,0,2013741870,14648,899508531,,60416,1.548030065,14568497331,81835,5837521531,,4432971135,19634580
dealII,gcc,native,1,2,0,5816891993,37405,2857181097,,212768,4.346205043,40776921592,176386,16454493882,,13233559191,63227830
dealII,gcc,native,1,3,0,31682178158,188961,16298329861,,1770633,22.92652302,210492865069,860566,86058965522,,72842584168,370360538
dealII,gcc,native,1,4,0,385252979518,1759228,141954594235,,23549640,247.583693243,2136264227964,9225177,926570615187,,692867292642,4252022246
dealII,gcc,native,1,0,0,711055445,6117,269817894,,13358,0.562121662,5316480929,42185,2130425021,,1575979303,5741946
dealII,gcc,native,1,1,0,2016455519,14647,914184692,,60956,1.550876738,14489892973,85095,5832419978,,4473790156,19450108
dealII,gcc,native,1,2,0,5819490167,37914,2856809279,,220126,4.345508223,40816907547,183565,16448860599,,13232707819,64375176
dealII,gcc,native,1,3,0,31614373770,185915,16117540789,,1661447,22.960731927,210725598682,830650,86180091110,,72812076558,374275766
dealII,gcc,native,1,4,0,385591809206,1747486,141908717212,,23458398,247.56077618,2136641023656,9117394,926496165198,,693053420207,4225987001
libquantum,gcc,native,1,0,0,4034453023,1668,888880966,,2533,1.416002925,16796276714,4627,5348136174,,2261768057,7459579
libquantum,gcc,native,1,1,0,22514953202,3273,4952137375,,5075,7.806757008,93454170176,16100,29581309496,,12651007909,40103076
libquantum,gcc,native,1,2,0,144720454808,6405,29519478033,,5120587,71.498131974,595955161845,84609,270688629542,,80830664822,354747681
libquantum,gcc,native,1,3,0,636969727455,23586,137580471662,,16985276,353.326359451,2624492342291,606667,1276797738063,,357270404063,917908028
libquantum,gcc,native,1,4,0,3270649221572,28633,701117993032,,2147212,1838.007870813,13433551391795,237224,6470957039342,,1833396185382,4115281968
libquantum,gcc,native,1,0,0,3999040187,1669,896265065,,2167,1.422571314,16740954113,6923,5362025047,,2264294078,7571706
libquantum,gcc,native,1,1,0,22487309472,3272,4983211853,,5478,7.790804222,93251638837,14758,29571587803,,12620038768,40073929
libquantum,gcc,native,1,2,0,144750881680,6153,29803146755,,8608266,72.34432852,594788816221,153481,273784527936,,80826167510,357869765
libquantum,gcc,native,1,3,0,636808490333,23250,137877743719,,961765,350.087853227,2624563166250,159374,1266608111467,,357376826624,919051568
libquantum,gcc,native,1,4,0,3270798601270,29980,703302608581,,903392,1832.502617769,13418773070625,168316,6454898551603,,1834185770802,4099825239
libquantum,gcc,native,1,0,0,4027741834,1669,893069084,,2396,1.417127733,16792968943,4262,5355396911,,2260593500,7429401
libquantum,gcc,native,1,1,0,22497264934,3273,4969080665,,4699,7.802986262,93356130773,15736,29609771044,,12634533766,40441072
libquantum,gcc,native,1,2,0,144740198345,6334,29710142692,,8553962,72.341425188,594645220637,152083,273949953413,,80787710480,357756998
libquantum,gcc,native,1,3,0,636378610670,23575,138044228895,,14978258,351.391149762,2622522595430,569166,1269934051905,,357412789014,912786455
libquantum,gcc,native,1,4,0,3268375282955,28342,700751955072,,1639832,1834.570136121,13432074483562,226198,6463379863019,,1833430586820,4105987233
libquantum,gcc,native,1,0,0,4027431007,1668,896330142,,2400,1.415377728,16826850160,3781,5349726803,,2258832686,7557137
libquantum,gcc,native,1,1,0,22495710043,3271,4974453802,,5167,7.793083603,93354191920,13845,29574780119,,12616152055,40138965
libquantum,gcc,native,1,2,0,144693454440,6566,29776752796,,8401943,72.244957787,595993836668,180912,273612146762,,80917239160,359577553
libquantum,gcc,native,1,3,0,636320932804,22924,137756193660,,235794,348.176173735,2623536764509,111562,1262319402611,,357337917152,918021740
libquantum,gcc,native,1,4,0,3271575635954,29990,702617343671,,754914,1832.09764911,13426564598233,211990,6458817806037,,1834198630313,4134116803
libquantum,gcc,native,1,0,0,4042999496,1667,897358693,,2691,1.411868727,16883067161,1740,5346453250,,2255987215,7583694
libquantum,gcc,native,1,1,0,22478829998,3273,4981964363,,7011,7.796221497,93367995047,13091,29590722013,,12598456156,39569159
libquantum,gcc,native,1,2,0,144699016753,6300,29708045759,,8384755,72.604784937,594212811591,157304,274833105035,,80905032983,354381272
libquantum,gcc,native,1,3,0,637589549485,23330,138494343823,,14931589,351.907370188,2622891799757,569808,1270701486192,,357357051850,911600250
libquantum,gcc,native,1,4,0,3272519157625,28767,704077103762,,1754497,1834.624864465,13431308156690,241506,6460354472577,,1833864774798,4168342139
libquantum,gcc,native,1,0,0,4039169786,1669,902851573,,2118,1.411902667,16869199510,1110,5351300625,,2259926163,7603469
libquantum,gcc,native,1,1,0,22457804322,3274,4981365992,,5432,7.786990598,93306721120,15202,29522127168,,12616639402,39656652
libquantum,gcc,native,1,2,0,144791409108,6377,29863710251,,8450180,72.702051041,595514582812,159125,275325730367,,80949014461,361397248
libquantum,gcc,native,1,3,0,636684861506,22895,138172928188,,230733,348.743350583,2622522725687,114742,1262151448849,,357389268078,922131299
libquantum,gcc,native,1,4,0,3270103822129,29548,701320916495,,690866,1833.062843961,13428504902114,164928,6455075438762,,1833810481032,4130441198
libquantum,gcc,native,1,0,0,4037884964,1670,887508229,,2686,1.415612536,16816789576,4695,5346278154,,2259496636,7469474
libquantum,gcc,native,1,1,0,22493713018,3276,4973102212,,5760,7.787582667,93272642513,13784,29520283784,,12621215669,40143536
libquantum,gcc,native,1,2,0,144771016655,5026,29682012786,,8628606,72.31762399,593999665747,162784,273876942475,,80794520071,357106455
libquantum,gcc,native,1,3,0,636194992758,23370,137529707491,,15102652,351.715870592,2624060795617,573301,1270503466202,,357324698274,922668434
libquantum,gcc,native,1,4,0,3268697652300,29008,700977963521,,1684324,1836.13595746,13416369692745,223981,6463715602303,,1833810676461,4127748790
libquantum,gcc,native,1,0,0,4031167232,1669,890624441,,2343,1.416615274,16796972376,4375,5350596035,,2260377799,7485183
libquantum,gcc,native,1,1,0,22486859819,3274,4977440785,,5676,7.78802084,93224372279,14020,29518825233,,12623358450,39337440
libquantum,gcc,native,1,2,0,144672309392,6242,29695836527,,8508338,72.144009019,596123757254,148406,273211977977,,81013460018,356300955
libquantum,gcc,native,1,3,0,637544886213,23189,138800292084,,213868,348.304487839,2624993222816,117318,1262344489558,,357371635255,931599963
libquantum,gcc,native,1,4,0,3268385686078,29920,700871499907,,675492,1834.036580824,13409640641087,164560,6460652891292,,1833971406628,4116686755
libquantum,gcc,native,1,0,0,4028127484,1669,894404736,,2516,1.415928735,16836217763,3273,5352273369,,2259732091,7545160
libquantum,gcc,native,1,1,0,22486079474,3273,4973633019,,4956,7.792052462,93206306728,13965,29570327129,,12624873313,39732583
libquantum,gcc,native,1,2,0,144654122260,6346,29642896940,,8439542,72.294286333,595959121576,148347,273788613562,,80954179275,356927052
libquantum,gcc,native,1,3,0,637345442445,23275,138042629629,,14636391,352.53958897,2624222600879,611225,1271881222353,,357388991285,918063079
libquantum,gcc,native,1,4,0,3269912166718,27795,700806467014,,1692129,1837.665212018,13428219729095,202053,6471154408486,,1834221989827,4107059392
libquantum,gcc,native,1,0,0,4035970937,1671,894559796,,2342,1.413763022,16848250249,2147,5348684535,,2259590000,7518252
libquantum,gcc,native,1,1,0,22519096878,3274,4980223070,,6772,7.799750534,93405716887,17731,29592885802,,12624074369,39961882
libquantum,gcc,native,1,2,0,144741680028,6261,29741682742,,8261720,72.308644362,594200530360,169843,273819070348,,80877858277,357138632
libquantum,gcc,native,1,3,0,637187126295,22496,137965848125,,247570,348.281855372,2622397955262,125228,1261371879242,,357439893063,923036668
libquantum,gcc,native,1,4,0,3271842023540,29218,703360764340,,639346,1832.711651911,13425098686491,173514,6456588711857,,1834360930095,4103399677
hmmer,gcc,native,1,0,0,444539495,4852,1653783651,,18114,1.030422467,9931158713,11024,3891287861,,4333682382,3791460
hmmer,gcc,native,1,1,0,876369696,5155,3287268738,,32604,2.052793467,19697874316,49540,7780535249,,8621536077,7585332
hmmer,gcc,native,1,2,0,1598103799,7979,6015678448,,61491,3.778815445,36272935360,105293,14335001855,,15893700891,13784549
hmmer,gcc,native,1,3,0,3809649655,10877,14304283332,,127929,8.8948889,85824240595,208938,33749968005,,37719698312,32365016
hmmer,gcc,native,1,4,0,6876737680,14374,25875420260,,181364,16.254950716,156508064732,253810,61696643007,,68605322250,57200691
hmmer,gcc,native,1,0,0,442010981,4852,1656562302,,16678,1.037496476,9891415318,19119,3898069897,,4331580672,3862495
hmmer,gcc,native,1,1,0,877312477,4644,3279527972,,32128,2.053492406,19690480709,44536,7781650732,,8628345189,7525297
hmmer,gcc,native,1,2,0,1596868264,7471,6014851720,,57264,3.776580242,36283198126,99359,14330645097,,15902141754,13704227
hmmer,gcc,native,1,3,0,3792630241,10876,14280170052,,123357,8.93668546,85998170812,175354,33892891408,,37731171607,32297631
hmmer,gcc,native,1,4,0,6902754463,17444,25960659596,,189061,16.266979754,156341989207,269979,61708355801,,68642371665,58177147
hmmer,gcc,native,1,0,0,440775074,4853,1651992678,,16999,1.037475723,9878959148,18743,3896444264,,4335069026,3870349
hmmer,gcc,native,1,1,0,875519481,5157,3270820385,,32216,2.05504308,19712914174,46488,7774344405,,8620106656,7432037
hmmer,gcc,native,1,2,0,1610594915,7469,6037894336,,68645,3.754493504,36240892028,100030,14214015116,,15886960131,13788347
hmmer,gcc,native,1,3,0,3797734358,11383,14271582258,,120592,8.880592059,85858379744,197912,33699813889,,37727580446,32209362
hmmer,gcc,native,1,4,0,6896985949,15400,25905943568,,217303,16.1803805,156500662751,258061,61409630677,,68712673738,57679392
hmmer,gcc,native,1,0,0,441355378,4857,1651709455,,17427,1.03541951,9891047029,21349,3890639155,,4334894512,3859845
hmmer,gcc,native,1,1,0,877821855,4646,3287059032,,31206,2.039926179,19701565181,45849,7736426516,,8608245675,7484082
hmmer,gcc,native,1,2,0,1608912391,6959,6029408927,,61636,3.767733379,36298394554,101720,14296219061,,15850180912,14032629
hmmer,gcc,native,1,3,0,3797348298,10876,14307203070,,129865,8.917459286,85891080520,203210,33694494371,,37694552666,32530469
hmmer,gcc,native,1,4,0,6885192158,17952,25898311131,,213036,16.214569937,156585744450,307927,61546581937,,68599166927,57148004
hmmer,gcc,native,1,0,0,444595029,4343,1649614496,,14988,1.029024189,9930727731,9676,3889039356,,4330759744,3806061
hmmer,gcc,native,1,1,0,878165466,4642,3284174739,,35353,2.041514146,19685743712,60754,7745413745,,8616444084,7387928
hmmer,gcc,native,1,2,0,1612063539,7982,6036198093,,66516,3.768862437,36256777302,111526,14239908804,,15867536700,13804687
hmmer,gcc,native,1,3,0,3800592019,11384,14314674598,,127052,8.883790522,85922629329,211075,33719523992,,37681333967,32320009
hmmer,gcc,native,1,4,0,6921972720,16930,26070446008,,204969,16.239000744,156484781927,281478,61629841869,,68435110188,60648858
hmmer,gcc,native,1,0,0,444671255,4344,1648689186,,16767,1.028221297,9926386798,10666,3888518224,,4332628117,3821611
hmmer,gcc,native,1,1,0,875970313,5155,3282034969,,31998,2.041450437,19700013106,45303,7742633954,,8634782777,7639079
hmmer,gcc,native,1,2,0,1608637162,6444,6042037837,,69700,3.750496066,36226895624,86825,14217533839,,15902620127,13850409
hmmer,gcc,native,1,3,0,3802924818,10878,14324975815,,133634,8.882810341,85891677418,205163,33714332132,,37695276117,32437740
hmmer,gcc,native,1,4,0,6875132360,13866,25887107813,,211201,16.19023237,156454519222,293746,61448371346,,68492102822,57982931
hmmer,gcc,native,1,0,0,443993571,4853,1653826215,,17744,1.031158571,9927344256,13302,3891321858,,4333104108,3799889
hmmer,gcc,native,1,1,0,876929046,4646,3289163787,,35863,2.043695811,19704740806,47436,7751338169,,8632973052,7610967
hmmer,gcc,native,1,2,0,1609895645,7980,6043592039,,68798,3.75267304,36220461773,105430,14217035931,,15902847927,13771196
hmmer,gcc,native,1,3,0,3805283581,11389,14282154398,,131769,8.880134633,85843453118,213131,33689596184,,37738926334,31844626
hmmer,gcc,native,1,4,0,6903011781,16420,25901747184,,211384,16.203901503,156597652591,300950,61460152168,,68707604370,58209778
hmmer,gcc,native,1,0,0,444370001,4342,1653660509,,16151,1.029814918,9922257023,13146,3886286815,,4335235490,3811848
hmmer,gcc,native,1,1,0,877878898,5157,3286355167,,36847,2.041469648,19698615089,65081,7745736526,,8605434197,7481108
hmmer,gcc,native,1,2,0,1612631164,6961,6032087496,,63388,3.752522821,36259785675,95946,14211315881,,15877611998,13699954
hmmer,gcc,native,1,3,0,3789391173,10363,14241102525,,128975,8.881233714,85844540738,206736,33702279756,,37762536158,32072844
hmmer,gcc,native,1,4,0,6888366502,17953,25902843574,,219348,16.209178263,156533346508,306124,61513888203,,68703710359,58455392
hmmer,gcc,native,1,0,0,444220337,4345,1653778863,,15236,1.029783243,9924303274,12105,3888716397,,4329681927,3783857
hmmer,gcc,native,1,1,0,877644457,4643,3286126859,,32877,2.040360564,19695709965,47308,7736733182,,8618182247,7432791
hmmer,gcc,native,1,2,0,1606916511,6447,6047136772,,65490,3.759989189,36152789481,85969,14262151009,,15906435743,14101033
hmmer,gcc,native,1,3,0,3794597347,10878,14259607325,,127723,8.876907923,85815395619,199954,33649914353,,37792512930,31858488
hmmer,gcc,native,1,4,0,6902355518,14377,25875584716,,238817,16.202299365,156544215458,436644,61461577575,,68651407442,57775047
hmmer,gcc,native,1,0,0,444692268,4853,1653873486,,18339,1.029628113,9933629109,11667,3891336310,,4335514136,3829074
hmmer,gcc,native,1,1,0,878351874,4645,3284816421,,30182,2.041017827,19694569500,45964,7745364338,,8614003336,7395042
hmmer,gcc,native,1,2,0,1607622594,7470,6039551657,,67432,3.750323688,36230748358,100320,14214763093,,15908817245,13656160
hmmer,gcc,native,1,3,0,3796340153,10874,14249161693,,131591,8.876331933,85862487404,206539,33651644203,,37801376482,31764018
hmmer,gcc,native,1,4,0,6887706865,15911,25924429705,,210118,16.196600197,156427266133,295267,61466004982,,68550047074,57415620
bzip2,gcc,native,1,0,0,11029718910,4920,4355436050,,20667,8.511892211,61259979291,20615,32302832168,,21226838608,383393563
bzip2,gcc,native,1,1,0,22044935516,4407,8691474814,,34223,16.954286871,122065363953,18370,64329327689,,42551666090,763136002
bzip2,gcc,native,1,2,0,44155570454,4864,17419921540,,56256,33.90014859,244297548019,28452,128618261073,,85221704081,1525379793
bzip2,gcc,native,1,3,0,88327930506,4715,34833793770,,117068,67.784912082,489041559994,43539,257228358976,,170504518564,3050630195
bzip2,gcc,native,1,4,0,176657246856,5428,69630768230,,196523,135.569451281,977867005597,68627,514465389928,,340790314883,6101718330
bzip2,gcc,native,1,0,0,11090357163,4477,4371536074,,17846,8.498312059,61327963574,9749,32248255736,,21282435710,381114710
bzip2,gcc,native,1,1,0,22101808576,4394,8744797108,,34358,16.961677253,122416443689,30757,64370388330,,42458244949,764812733
bzip2,gcc,native,1,2,0,44133293111,5370,17378369674,,60303,34.021662958,244305418949,54032,129091987591,,85210269014,1525172232
bzip2,gcc,native,1,3,0,88380200634,5089,34774315895,,125889,67.892298004,489158764223,46805,257667071349,,170579816399,3049871785
bzip2,gcc,native,1,4,0,176714443322,5598,69601728986,,216324,135.675028937,977860459623,77786,514914350240,,340955436945,6100590555
bzip2,gcc,native,1,0,0,11036912984,4884,4329896471,,25152,8.500961528,61194362070,16216,32260962279,,21293059919,380815674
bzip2,gcc,native,1,1,0,22078791429,4535,8689172139,,37704,16.976118444,122187920537,30102,64414290200,,42530749549,762660340
bzip2,gcc,native,1,2,0,44097093356,4598,17426360168,,57743,33.98900333,244186389936,29705,128987005829,,85122689975,1527277178
bzip2,gcc,native,1,3,0,88429309303,5087,34765049867,,110250,67.841763017,489158718853,51451,257372600385,,170621840234,3048258668
bzip2,gcc,native,1,4,0,176747836225,5262,69571117753,,211735,135.10576713,978049934714,64266,512739282937,,341013541771,6098945296
bzip2,gcc,native,1,0,0,11082576389,4490,4361277094,,20750,8.500677457,61322493526,10275,32262416670,,21243955535,381201876
bzip2,gcc,native,1,1,0,22096571145,4762,8703344679,,31679,16.927054182,122233839320,34713,64235598792,,42619214403,760763005
bzip2,gcc,native,1,2,0,44190545172,4908,17456491238,,58224,33.882751244,244369395991,37188,128598010393,,85162122672,1526595921
bzip2,gcc,native,1,3,0,88337345030,4696,34781677520,,108069,67.802944672,489229580882,39963,257307274975,,170568797724,3049763541
bzip2,gcc,native,1,4,0,176778743051,5275,69613055706,,213277,135.855292116,978358652324,59718,515499042149,,340963165733,6100504291
bzip2,gcc,native,1,0,0,11073885866,4463,4365845289,,18599,8.460579709,61254561750,18266,32065946732,,21298439856,380577628
bzip2,gcc,native,1,1,0,22083439402,4404,8744683592,,37818,16.957759204,122361023496,26684,64359305605,,42511583459,764723004
bzip2,gcc,native,1,2,0,44125088846,4566,17383983809,,42344,33.931801809,244268401750,29815,128751438485,,85204910217,1523490466
bzip2,gcc,native,1,3,0,88391286275,5222,34707755885,,151614,68.005300118,488878140691,50270,258088767991,,170582507659,3049863394
bzip2,gcc,native,1,4,0,176696937476,5316,69739020393,,223206,135.871366944,978416087676,72960,515621624198,,340906963122,6103934556
bzip2,gcc,native,1,0,0,11042559140,4328,4347067618,,17697,8.495122023,61130339559,5928,32226461229,,21354482284,380410908
bzip2,gcc,native,1,1,0,22087673580,4468,8676026805,,36529,16.966678746,122207943984,30121,64371856317,,42552042556,763991817
bzip2,gcc,native,1,2,0,44090643180,4489,17395830269,,53617,33.886175116,244250296215,25383,128603251271,,85201210206,1527506044
bzip2,gcc,native,1,3,0,88333097257,5256,34780259035,,111020,67.914818593,488941107591,40137,257716042530,,170582012969,3051341395
bzip2,gcc,native,1,4,0,176793299570,5444,69622627590,,266693,135.395717787,978042945250,68732,513744177717,,341159401030,6097309929
bzip2,gcc,native,1,0,0,11061089754,5155,4364111336,,25715,8.490675993,61067090432,22313,32188179876,,21390087905,379957606
bzip2,gcc,native,1,1,0,22082224438,4884,8665144642,,31884,16.9669502,122255131617,36573,64374401007,,42575878432,762782032
bzip2,gcc,native,1,2,0,44192020886,5027,17371944596,,55199,33.925315482,244452199319,33089,128752879023,,85240708281,1524912451
bzip2,gcc,native,1,3,0,88371402081,5372,34832637946,,129333,67.739281447,489096038466,54074,257091217625,,170479465326,3051341897
bzip2,gcc,native,1,4,0,176768222905,5225,69569442675,,239881,135.831802836,978170702925,68931,515224426395,,340984563884,6102914208
bzip2,gcc,native,1,0,0,11068223261,4452,4363928169,,20111,8.419173316,61259767370,15359,31943253241,,21314641001,380749184
bzip2,gcc,native,1,1,0,22099227126,4462,8718518962,,28659,16.966598677,122301277009,31770,64371599127,,42518583082,763953497
bzip2,gcc,native,1,2,0,44144308742,5253,17371363304,,60883,33.918317125,244468278790,30477,128691227389,,85262731650,1524495278
bzip2,gcc,native,1,3,0,88380568220,5399,34759197846,,123993,67.866416932,489082980406,74904,257572156067,,170484318575,3051591646
bzip2,gcc,native,1,4,0,176694114314,5114,69605387937,,209843,135.652702626,978069766270,62302,514749882940,,340956015160,6098219754
bzip2,gcc,native,1,0,0,11040296953,4762,4348620488,,23446,8.492498248,61121465713,9027,32182599001,,21352753749,380438774
bzip2,gcc,native,1,1,0,22087950118,4504,8704414071,,36201,16.894164818,122417427210,32336,64112101386,,42511568739,763977665
bzip2,gcc,native,1,2,0,44143496854,5214,17376867168,,40435,34.084581054,244309268232,39076,129351700222,,85262395868,1525019900
bzip2,gcc,native,1,3,0,88317928670,5423,34775206260,,145899,68.053774251,488934211507,60242,258281661907,,170506213617,3051358194
bzip2,gcc,native,1,4,0,176729418358,5196,69612365311,,253034,135.049321078,977904720003,63247,512506396405,,341176498983,6097757353
bzip2,gcc,native,1,0,0,11038789684,4742,4328605802,,21381,8.489640841,61157612580,8677,32178713927,,21386116043,380499814
bzip2,gcc,native,1,1,0,22072740594,4886,8720719103,,41526,16.959175165,122301905858,28853,64359629203,,42541835184,762784877
bzip2,gcc,native,1,2,0,44145727315,4546,17410499740,,65839,33.918865203,244606860451,31040,128733811777,,85151638137,1526565293
bzip2,gcc,native,1,3,0,88361498492,4729,34782915394,,117786,67.834553941,488933266871,39428,257389556430,,170588837892,3050969193
bzip2,gcc,native,1,4,0,176703841989,5290,69586174141,,254187,135.94056909,978002231140,59376,515717640832,,340875292262,6102766844
dealII,icc,native,1,0,0,524256991,6175,344460648,,13109,0.47348773,4752476951,34977,1792380205,,1630009196,5346313
dealII,icc,native,1,1,0,1643439081,14702,1026177252,,55904,1.357593116,13127838133,91214,5103999426,,4912862302,16861394
dealII,icc,native,1,2,0,5104876134,38991,3092024895,,201379,3.957462802,38332472786,205042,14983164621,,14331577564,53352362
dealII,icc,native,1,3,0,29432706804,190040,17624059660,,1761179,21.817817791,202855127398,936069,81813452284,,77387094717,319201750
dealII,icc,native,1,4,0,361646819614,1752637,153373580320,,23696118,237.504906633,2045523522633,9447323,881861412153,,710765135705,3719150481
dealII,icc,native,1,0,0,519902057,6176,346253962,,14483,0.469741585,4747204626,34362,1779860741,,1652384244,5128490
dealII,icc,native,1,1,0,1643258152,14702,1020162670,,59653,1.360828934,13163724442,93135,5159432323,,4920427910,16765894
dealII,icc,native,1,2,0,5096043396,37461,3093195548,,169850,3.955865497,38250450985,196104,14977082361,,14345246333,53185426
dealII,icc,native,1,3,0,29481318449,189530,17653422555,,1700554,21.783203487,203027663888,869345,81748456163,,77414748418,316570273
dealII,icc,native,1,4,0,361796226855,1750090,153638355573,,23689809,237.540264284,2046248614760,9433099,882093514108,,710112880464,3721614469
dealII,icc,native,1,0,0,526744448,6172,341583600,,11151,0.473266617,4750192240,36455,1793472014,,1632626028,5246337
dealII,icc,native,1,1,0,1641956031,14703,1035125073,,54390,1.358884471,13045840776,93523,5145051418,,4921628124,16700416
dealII,icc,native,1,2,0,5096446818,36943,3107066663,,176620,3.956368516,38134430895,197922,14979840632,,14383495124,53280477
dealII,icc,native,1,3,0,29420776321,185952,17637464149,,1589582,21.812481194,202586317982,814167,81854902942,,77478441884,317511745
dealII,icc,native,1,4,0,361380750261,1745477,153644597985,,23805649,237.577842831,2045018149719,8958956,882050554467,,710470494873,3709913235
dealII,icc,native,1,0,0,527345932,6175,338763457,,10046,0.473766541,4764587291,36459,1791734336,,1615468475,5113524
dealII,icc,native,1,1,0,1649700258,14703,1009302858,,59494,1.356831636,13238450864,87047,5111457662,,4888112599,16637596
dealII,icc,native,1,2,0,5105272183,38475,3160937942,,197429,3.966074417,38006556062,184149,15016824113,,14452065417,52479207
dealII,icc,native,1,3,0,29448519315,186470,17657593419,,1623968,21.767917233,202672888628,878386,81645880666,,77404561264,314858023
